id,lat,lng
37240,34.7698,132.813
37240,34.7598,132.785
61120,37.4263,138.645
37241,34.9953,133.394
43772,45.417,-75.7
37245,34.9844,134.604
9993,36.1514,140.074
61123,37.5304,138.87
37246,35.0313,134.486
61125,37.6526,138.94
43790,24.2925,123.862
10032,52.3679,4.90036
61126,37.7445,138.939
61127,37.8685,139.006
37440,39.4616,140.506
37441,39.6558,140.571
10282,53.3428,-6.26611
43900,36.1611,138.483
10577,41.7969,140.757
37442,51.1667,71.4333
44003,43.1126,144.124
37443,39.5142,140.598
37445,39.3872,140.533
37446,42.8825,-8.54111
37450,39.2627,140.489
37452,39.2907,140.429
37453,39.3426,140.434
44315,41.5083,140.667
10713,50.1094,8.67389
37455,39.2237,140.522
37457,39.3345,140.474
37458,39.1494,140.572
37461,39.0602,140.447
44651,35.0428,136.903
10937,35.6786,139.744
37479,44.8386,-0.578333
37485,34.8221,135.353
45016,0,102
11056,39.0319,125.754
37526,34.8851,135.167
11062,34.4622,135.806
37538,34.9473,134.801
45022,0.336111,6.68139
11192,49.2667,-123.117
45111,34.8628,139.002
37555,30.4839,140.303
11387,35.7022,139.545
45129,41.9014,12.4797
11460,35.3496,139.532
11460,35.3109,139.489
45324,36.9614,140.046
45379,42.8898,143.931
37579,34.7,134.103
45473,34.8217,135.429
61175,38.2996,140.979
45804,38.2607,140.878
37600,34.8309,135.155
61176,38.3009,140.994
61211,43.0221,141.322
37603,34.8166,134.981
11921,36.4714,138.148
37604,34.8375,134.878
61301,38.3293,140.985
37605,34.8779,134.627
61318,38.3172,140.973
61349,40.6508,140.85
61485,34.7533,135.471
37610,34.7806,134.302
12225,37.0401,136.97
12234,31.0822,81.3128
12234,31.0667,81.3125
61594,34.5359,135.907
61744,35.9458,136.878
45961,35.0845,137.171
61746,35.8558,137.037
12371,34.7034,137.734
61747,35.7503,137.087
37680,33.8113,135.236
61793,36.7325,136.699
61822,33.7498,129.691
61823,33.8485,129.693
37683,34.2754,135.249
12388,34.9226,138.36
61824,33.8022,129.761
61825,33.7477,129.754
61827,34.2023,129.288
37686,34.4045,135.434
12390,35.0972,138.553
45991,39.6542,66.9597
61828,34.268,129.312
61829,34.3958,129.318
37702,34.5588,135.681
61831,34.469,129.315
61832,34.637,129.397
61833,34.6525,129.461
45993,28.6138,77.2088
37704,34.6168,135.812
61852,36.2462,140.197
61909,36.4716,138.148
46185,24.4667,54.3667
61930,33.8829,133.089
62017,34.6791,138.944
62039,35.3173,136.321
62041,36.6305,136.909
46275,42.9214,143.2
62042,37.1402,138.215
62043,37.4411,138.658
46335,41.3,69.2667
62046,37.4606,138.792
46395,34.8073,135.533
46410,41.3564,139.809
62047,37.8722,139.041
46656,-29.31,27.48
62124,35.6761,139.699
62273,33.795,132.781
62291,35.7277,139.598
46690,34.8394,134.694
46790,33.1917,130.32
46791,33.2336,130.24
46792,33.2083,130.288
46931,-11.7025,43.255
62354,30.5,47.8167
46932,-4.6167,55.45
46983,-6.17306,35.7419
12494,38.8951,-77.0367
62839,38.0325,140.692
12527,-7.60782,110.204
62840,38.0349,140.651
12545,36.9509,138.8
62841,37.9339,140.605
12547,36.9359,138.81
62879,33.7943,132.903
62895,36.0851,140.198
47498,46.2342,6.05278
12639,35.1706,136.882
12639,35.1689,136.882
12639,35.1711,136.884
47530,38.3096,141.01
47535,44.8415,142.48
63125,35.3156,136.687
12766,37.6189,-122.375
47581,38.8493,139.905
13022,33.6033,73.0503
47583,34.3756,132.423
47588,34.801,135.455
63258,33.5317,132.565
13161,40.1,94.65
63276,43.3269,145.583
38084,39.9533,-75.17
47595,38.8443,139.911
63278,43.2282,145.252
63483,35.3331,138.982
13164,31.1667,121.483
47762,34.8054,135.432
63493,35.1514,138.651
13278,29.6581,91.1194
63501,34.9847,138.414
47785,35.6364,139.764
13366,34.5331,69.1661
63502,33.7365,132.701
47863,35.426,133.4
63663,35.7238,140.237
47868,35.4265,133.405
47868,35.4242,133.394
63739,42.9317,142.092
47874,34.0734,131.564
13401,35.6962,51.4229
13401,35.6585,51.3975
13401,35.6585,139.701
63932,35.4589,135.422
13484,24.4667,39.6
47875,34.0563,131.538
47878,34.4656,132.48
63951,36.3167,139.579
63951,36.3169,139.579
38282,38.7491,141.072
64101,38.2561,140.857
47879,34.7018,133.887
38285,38.5707,140.968
64194,35.8619,139.308
13693,35.3747,139.22
47882,34.5135,133.396
64256,36.6075,136.704
64256,36.6297,136.701
64256,36.6825,136.723
64256,36.7106,136.708
64256,36.72,136.684
47897,35.4328,136.657
64390,40.5965,140.469
13805,33.3333,44.4333
38385,39.3146,140.776
47907,35.4171,133.356
38386,39.2955,140.836
64391,38.1039,138.35
47911,35.4227,133.38
38387,39.3086,140.909
64487,38.4352,141.304
38388,39.3011,140.932
47914,35.4608,133.439
64496,37.9081,140.581
38389,39.3093,140.972
47915,35.3625,133.452
38390,39.3077,140.997
47917,35.3009,133.479
38391,39.301,141.04
47919,35.2718,133.618
14168,34.1919,48.3658
38392,39.2984,141.076
64975,34.8503,135.594
47921,35.1684,133.741
47922,35.0718,133.792
14643,35.8915,140.069
38403,42.3316,-83.0475
14659,38.995,-77.0993
47927,34.8066,135.369
38406,39.2946,141.112
65008,56.3269,44
47959,35.6623,139.41
14762,50.8514,5.69133
65084,35.8817,136.859
48040,35.0252,133.747
65297,36.6069,136.707
48041,34.6262,133.771
38501,35.019,136.593
48042,34.6016,133.811
65562,43.8413,142.295
38504,35.0853,136.658
14982,34.1365,-118.356
48051,34.5843,133.687
38505,34.8677,136.416
65676,35.1716,136.955
38506,34.779,136.47
48053,34.5355,133.512
65734,43.4386,145.917
65804,38.5141,141.06
38508,34.6125,136.461
48054,34.4292,132.871
38510,33.8724,130.965
65932,35.9921,140.636
38511,33.7795,130.704
48055,34.4308,132.955
65976,35.6253,139.244
38512,33.7752,130.69
48057,34.4416,132.754
15350,35.6689,139.478
38514,33.7382,130.519
15736,35.0278,135.751
48064,34.7432,134.025
38516,33.5874,130.501
38518,33.4416,130.531
48065,34.7871,134.161
66196,43.9494,4.80889
38519,35.3489,136.781
48081,34.7833,134.263
66201,48.95,2.25
38522,33.2537,130.537
48085,35.0645,133.951
38524,33.1284,130.518
1899992,40.3959,115.51
48088,35.0626,134.052
38525,32.4425,130.669
15945,35.7058,139.752
48091,35.0261,134.162
38527,32.2613,130.768
66399,34.1318,131.454
38533,32.0691,130.796
48095,35.0222,134.37
16224,-7.56667,110.817
66474,37.8791,140.54
38550,31.8451,130.686
48098,34.7856,132.861
66477,37.8553,140.518
38554,31.7269,130.615
48101,35.4959,133.866
66479,37.824,140.493
38556,32.0057,130.756
48102,35.5072,133.928
66481,37.8005,140.478
38558,32.5433,130.681
48104,35.5124,134.003
66514,41.8903,12.4922
38559,32.7083,130.756
48106,35.4168,133.262
38560,32.8944,130.719
16418,32.7531,129.871
48108,35.4277,133.132
38561,33.0135,130.584
16539,35.9061,139.628
48110,35.4334,133.038
38602,16.75,-62.2
48111,35.4366,133.049
48112,35.4435,133.064
48114,35.4509,136.673
48134,35.6344,136.616
16585,35.1431,136.901
16585,35.1433,136.901
16585,35.1439,136.902
48170,34.8348,135.262
66837,35.7861,140.318
48331,35.4497,133.084
38667,29.9647,-90.0814
16617,35.3711,133.54
48332,35.444,133.101
38704,33.8869,35.5131
66883,35.6259,139.25
48333,35.439,133.114
48335,35.3934,132.9
38752,38.7627,140.306
48355,34.8384,135.236
67042,35.6522,139.167
38754,38.5957,140.375
48393,35.2963,132.89
67059,51.8014,10.6147
48396,35.4036,136.65
38756,38.4734,140.386
16978,51.4853,-3.18667
38758,38.4286,140.381
16992,-13.1631,-72.5456
38761,38.36,140.37
48415,35.3915,136.691
67192,35.1987,136.846
38763,38.2487,140.327
17080,39.6473,-77.4631
67196,35.196,136.826
38764,38.1522,140.279
48479,35.4825,136.679
67198,35.1958,136.806
67199,35.1951,136.75
48514,35.118,138.819
38767,38.0472,140.149
67201,35.1889,136.739
48518,31.7,120.117
48518,34.2,108.9
48518,28.1167,119.65
38771,37.9924,140.153
17206,24.8047,120.971
67202,35.1953,136.788
67205,35.1987,136.767
38773,37.9096,140.128
67209,35.1781,136.731
67210,35.1891,136.728
67214,35.2022,136.729
67220,35.1633,136.728
48563,34.9767,133.659
67222,35.2137,136.727
67227,35.2226,136.729
48569,34.9117,133.681
17488,29.6578,91.1169
67229,35.2339,136.732
48570,34.6937,133.797
17634,36.8316,139.72
17754,42.3722,-71.1161
67247,35.0036,135.779
48572,34.9981,133.447
39034,38.0046,140.048
17932,35.8659,139.378
39036,38.0386,139.994
67249,35.1956,136.867
48589,34.6539,135.516
39039,38.0901,139.56
39110,31.9677,130.953
17955,34.2667,132.3
39114,31.7952,131.164
48665,33.9784,130.952
67281,35.1472,136.716
48666,34.079,131.031
67283,35.1297,136.711
39209,-9.46667,147.167
48669,34.1704,131.245
67293,35.3025,136.797
18497,38.7682,141.123
67301,35.4094,136.757
39272,36.2892,137.648
48700,34.696,135.513
48726,34.5996,135.51
39273,36.3419,137.648
67411,36.4111,139.333
48850,34.108,131.142
67412,36.3832,139.073
48864,36.3041,137.104
67414,36.7456,139.047
39287,35.0692,136.94
48865,34.0457,131.852
67505,34.9332,137.575
48867,34.0691,131.686
39444,34.9049,135.694
18551,29.7628,-95.3831
48869,34.035,131.972
67580,37.0582,140.892
18727,35.1272,136.909
48870,34.2341,131.81
39547,29.1,58.35
48872,34.1536,131.523
18740,34.8078,135.495
39612,35.4644,139.874
67714,35.126,136.997
39676,35.0364,135.762
18747,34.7754,135.495
39698,33.3291,130.311
67715,35.1249,138.794
39700,33.2621,130.083
39700,33.2528,130.078
67728,35.1608,136.898
39706,33.1604,130.017
67729,35.1572,136.907
39708,33.0174,129.948
39710,32.9025,129.98
67730,35.1564,136.917
67730,35.1561,136.916
39712,32.8613,130.002
67735,35.1487,136.948
39713,33.3112,130.21
67736,35.1433,136.955
18989,35.1697,136.884
39714,33.401,130.574
67737,35.1367,136.964
39716,33.3946,130.615
67739,35.1325,136.978
19016,44.0197,144.259
39721,33.3747,130.754
67741,35.1285,136.988
39723,33.2826,131.117
67744,35.123,137.006
39725,33.3354,131.461
67748,35.1211,137.019
67751,35.1836,136.89
67753,35.1922,136.891
49441,24.7581,141.287
39731,33.9112,133.631
67754,35.2044,136.891
39733,33.8179,133.665
49484,25.4333,141.282
67755,35.2153,136.887
39737,33.6016,133.615
19311,36.0301,140.056
67758,35.1503,136.905
49505,24.2339,141.464
49548,24.4658,131.19
39752,49.9483,7.26417
19399,35.0512,133.808
67787,48.5844,7.74861
49665,3.86667,11.5167
39811,33.9488,133.423
19462,31.78,119.97
67866,40.4083,141.718
49734,33.1253,139.688
67883,35.2168,136.837
39814,33.8853,133.108
49840,34.8951,135.376
39815,33.7706,132.755
39819,34.0379,133.894
67951,34.8031,137.556
39820,34.1399,134.414
67952,35.2475,136.737
19527,41.0122,28.976
67955,35.2564,136.739
39834,35.0915,135.168
67958,35.2661,136.748
19594,43.5513,7.01275
39837,35.2571,135.183
67964,35.2769,136.758
67966,35.2839,136.766
50049,31.8872,139.917
67969,35.2871,136.778
67971,35.2897,136.786
67974,35.3074,136.792
19662,36.8075,139.712
67975,35.3194,136.774
39856,35.3561,136.307
67981,35.3244,136.761
67982,35.3349,136.758
50129,33.7675,133.115
19852,34.05,-118.25
50140,48.7,44.5167
19881,35.684,139.754
67997,35.3219,136.7
19884,35.6755,139.751
67999,35.3156,136.7
50242,34.9872,135.743
19888,35.6714,139.749
50268,33.9539,138.829
50486,31.3911,130.394
19903,34.8129,135.53
50611,22.5697,88.3697
50624,43.9116,144.173
68004,35.0785,136.951
19995,34.778,135.264
40030,37.606,138.909
40031,37.8202,138.98
40080,37.4388,138.731
40081,37.3472,138.496
40081,37.3376,138.476
40083,37.1666,138.113
40084,37.033,137.869
40098,38.6917,140.316
40099,38.6555,140.361
40100,38.6298,140.371
20061,43.6667,-79.4167
40101,38.549,140.391
68190,47.5667,7.6
40102,38.4511,140.384
50646,34.9794,138.384
20078,34.8492,135.223
40103,38.4127,140.379
40104,38.3872,140.375
20146,34.6874,135.526
40216,38.331,140.359
40217,38.3144,140.348
40218,38.3028,140.345
40219,38.2877,140.342
51028,36.0828,140.111
40220,38.2659,140.333
68365,21.3089,-157.826
40221,38.206,140.304
68370,35.8076,139.845
40222,38.171,140.298
51096,43.7078,142.857
40223,38.1245,140.218
20148,43.8667,18.4167
20148,43.8476,18.3564
68566,52.3142,4.94194
51509,36.2275,139.671
40226,38.0933,140.203
40227,37.9543,140.143
20149,40.3493,-78.7757
20149,43.91,-111.539
68572,-22.9122,-43.2302
40228,37.8646,140.146
20246,35.1181,135.771
68575,-23.6001,-46.7202
51572,35.9156,139.479
40237,37.8116,140.269
68577,-34.5452,-58.4497
40239,37.8057,140.335
68649,34.9411,138.364
51607,34.1763,132.167
40240,37.7715,140.39
40241,37.7662,140.425
68650,35.0234,138.489
40262,35.52,136.217
68656,35.0028,138.442
51616,34.8099,135.495
51616,34.8074,135.495
40263,35.6031,136.15
68661,35.0135,138.427
68681,-6.82,39.27
40266,35.7328,136.114
68753,41.3809,2.12283
40267,35.8282,136.202
51649,34.8042,135.516
51764,35.6319,136.608
40268,35.9731,136.203
40270,36.17,136.294
20916,35.0547,134.003
40272,36.3527,136.323
51805,36.3282,137.141
51822,36.238,137.186
51862,-18.8167,169.133
68818,37.805,-122.272
40276,36.5345,136.528
40278,36.605,136.721
68825,-36.85,174.783
40280,36.6267,136.873
40281,36.6825,137.109
40282,36.6644,137.269
51917,34.9561,138.408
21197,45.1878,5.72694
40283,36.7706,137.399
40283,36.7961,137.42
21304,34.835,135.468
40284,36.9727,137.608
51922,42.0052,21.4417
21306,34.8234,135.466
40285,36.9167,137.514
21307,34.8168,135.461
51946,38.3167,23.3167
21500,34.6851,133.927
52137,34.905,136.828
68958,35.9341,139.406
2048749,40.605,109.83
68964,35.9204,139.389
68965,35.6622,140.437
69031,40.453,-3.68833
69173,38.5726,140.937
21522,34.6021,133.766
52236,36.1336,140.158
69174,38.5781,140.895
52290,35.28,136.534
21523,34.6263,133.808
69176,38.6057,140.897
21526,34.8705,133.904
69178,38.6301,140.89
21528,34.705,133.945
69179,38.6522,140.872
21530,34.7169,133.965
52361,35.698,139.766
69181,38.6583,140.864
21531,34.7409,133.961
69182,38.6805,140.859
69185,38.7091,140.835
69186,38.7367,140.78
69187,38.7446,140.737
69190,38.7433,140.716
69195,38.7265,140.668
69196,38.7357,140.613
69201,38.7304,140.554
69202,38.7421,140.543
69203,38.7561,140.517
21587,34.6618,134.037
69204,38.7659,140.476
21588,34.6656,134.006
69205,38.765,140.453
21590,34.6428,133.854
69206,38.7551,140.42
21608,34.5859,133.728
69208,38.719,140.382
21610,34.8045,134.275
69210,38.7097,140.366
69211,38.7215,140.316
21611,34.8124,134.205
69221,38.5491,141.1
21612,34.6856,133.988
69222,38.5382,141.127
21614,34.6832,133.958
21615,34.6994,134.021
69226,38.4979,141.24
21616,34.6614,134.071
40474,37.4472,138.854
69231,38.4859,141.283
21617,34.6685,134.091
69232,38.4659,141.288
52486,34.8375,137.328
21618,34.6999,134.099
69238,38.4455,141.335
21701,45.8333,6.91667
53004,38.2588,140.894
21705,27.9878,86.9444
53038,38.2611,140.905
21708,-3.06667,37.35
21709,45.9779,7.65996
53043,35.5741,137.528
69250,36.3109,139.571
53337,34.7756,135.495
53338,34.7926,135.497
53626,35.2307,138.537
69337,36.3717,139.731
69337,36.3715,139.731
69377,32.3,-64.7833
53653,56.95,24.1
53767,35.9517,139.098
21728,34.8423,133.899
53883,33.5333,-7.58333
21729,34.7921,133.934
21730,34.7713,133.932
